code_muni,tmax_mean,tmin_mean,pr_mean,rh_mean,rs_mean
1501782,24.187085017579403,15.868776260092504,87.87512292262394,61.660001170764644,12.462251684221794
1501808,24.000558123233,17.706725967724417,203.30541928632474,63.20686917684692,12.661195631746745
1501907,24.0235765864373,17.75788228920805,59.09816955169444,64.40927182497596,11.498576911787191
1501956,23.761165508397028,17.3042802352878,79.5456811427987,64.18271564418546,12.049576837377089
1502004,23.83475210220321,18.402509193045432,107.32453492502825,63.77530273456922,11.75827763564535
1502103,24.23936753975831,18.026786682126,104.65361476753327,63.028138770638776,12.946528811803516
1502152,23.391109924431138,15.59441476451679,59.42381653240335,61.78033701205373,13.005406657767267
1502202,23.666192741911562,17.430941705714403,37.57514234769569,64.20763188637049,11.234765733375777
1502301,23.846754613056987,17.113435269066706,105.4096379738642,64.5129463701933,11.910137075091331
1502400,23.641895007337727,17.6962816339301,52.88995055981645,64.54622107166185,11.372006467456094
1502509,23.781513822199383,18.234807925792893,267.2789859735525,63.79884819908531,12.403201581394308
1502608,23.664294612244156,18.421723782578965,40.465770398718696,64.31975415238166,11.421218716296774
1502707,24.739097156172768,16.632783900141856,81.26587773569698,59.37231912652791,13.610054233142048
1502756,23.918632960642203,17.616104453987937,39.56919063926836,64.36518789790658,11.534836745035
1502764,23.770624187105977,15.700206921798802,203.5148545173787,59.884427924356274,13.09843005399119
1502772,23.816992256003367,15.977928551569791,53.3359806795599,61.15389698336312,13.230786590552736
1502806,24.198081632424582,17.681838842266252,100.90590298170487,63.257624400963245,12.755105165587606
1502855,23.795646444444017,17.702153583315198,45.26164069696959,63.13629804976162,12.693822472944348
1502905,23.469207891737472,18.061921375318313,37.22951724906211,64.1958369571309,11.249915244784686
1502939,23.862685118062956,16.563305818908653,92.74011729786079,60.97197443371018,12.761358030350275
1502954,24.19888160127639,16.287503296378212,54.30682089273542,60.72361099545105,13.243937438262076
1503002,23.478007285877574,17.53140809414952,213.66386595047604,62.8732441928535,12.080379329875392
1503044,24.288333104162568,16.488312398044155,61.804147527709674,60.29954150819303,13.568244357212958
1503077,23.762583642507174,17.037400167046265,70.58972312926414,64.28693053466509,11.90776479154598
1503093,23.999976055311834,16.368554350968118,137.7055222880657,61.60897144189043,12.460068413244446
1503101,24.06510728518063,17.756513540068983,168.16574645701297,62.97019999293269,12.377149612402341
